 Board : D:\pro.166\hm2.prime_h610m2-tf.100.230613948\hm2.prime_h610m2-tf.100.230613948-tr.brd
 Unit  : mil & mm
 Date  : Tue Jun 20 13:41:56 2023

---------------------------------------------------------------------------------------------------
                     TOP  LAYER  COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
D4C19     C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603            7175.00   6153.00   182.245   156.286 270 N
D4C20     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      7220.00   6148.00   183.388   156.159 270 N
D4C21     C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603            8255.00   6150.00   209.677   156.210 270 N
D4C22     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      7910.00   6270.00   200.914   159.258 90  N
D4C29     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      7215.00   3820.00   183.261    97.028 90  N
D4C30     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      8295.00   3875.00   210.693    98.425 90  N
D4C31     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      7560.50   3835.00   192.037    97.409 0   N
D4C32     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      6848.00   3820.00   173.939    97.028 90  N
D4C33     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      7170.00   3820.00   182.118    97.028 90  N
D4C34     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      8260.00   3875.00   209.804    98.425 90  N
D4C35     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      6813.00   3820.00   173.050    97.028 90  N
D4C36     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      7910.00   3875.00   200.914    98.425 90  N
D4C40     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            7578.00   8725.00   192.481   221.615 270 N
D4C41     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            7543.00   8725.00   191.592   221.615 270 N
D4C47     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            8641.00   8755.00   219.481   222.377 0   N
